,Layers,Perplexity,Sum,Quantized_layers
0,"[False, False, False, False, False, False, False, False, False, False, False, False]",27.655488967895508,0,[]
4,"[False, False, False, False, False, False, False, False, False, True, False, False]",27.76063346862793,1,[10]
8,"[False, False, False, False, False, False, False, False, True, False, False, False]",27.76721954345703,1,[9]
64,"[False, False, False, False, False, True, False, False, False, False, False, False]",27.824607849121094,1,[6]
1,"[False, False, False, False, False, False, False, False, False, False, False, True]",27.83780670166016,1,[12]
128,"[False, False, False, False, True, False, False, False, False, False, False, False]",27.87550544738769,1,[5]
2,"[False, False, False, False, False, False, False, False, False, False, True, False]",27.88016891479492,1,[11]
12,"[False, False, False, False, False, False, False, False, True, True, False, False]",27.91987419128418,2,"[9, 10]"
9,"[False, False, False, False, False, False, False, False, True, False, False, True]",27.929615020751957,2,"[9, 12]"
5,"[False, False, False, False, False, False, False, False, False, True, False, True]",27.93389892578125,2,"[10, 12]"
68,"[False, False, False, False, False, True, False, False, False, True, False, False]",27.94598197937012,2,"[6, 10]"
32,"[False, False, False, False, False, False, True, False, False, False, False, False]",27.95105361938477,1,[7]
10,"[False, False, False, False, False, False, False, False, True, False, True, False]",27.953784942626957,2,"[9, 11]"
6,"[False, False, False, False, False, False, False, False, False, True, True, False]",27.96118927001953,2,"[10, 11]"
132,"[False, False, False, False, True, False, False, False, False, True, False, False]",27.965877532958984,2,"[5, 10]"
72,"[False, False, False, False, False, True, False, False, True, False, False, False]",27.980318069458008,2,"[6, 9]"
16,"[False, False, False, False, False, False, False, True, False, False, False, False]",27.986167907714844,1,[8]
65,"[False, False, False, False, False, True, False, False, False, False, False, True]",28.014291763305664,2,"[6, 12]"
66,"[False, False, False, False, False, True, False, False, False, False, True, False]",28.031103134155277,2,"[6, 11]"
136,"[False, False, False, False, True, False, False, False, True, False, False, False]",28.04401016235352,2,"[5, 9]"
3,"[False, False, False, False, False, False, False, False, False, False, True, True]",28.05183982849121,2,"[11, 12]"
36,"[False, False, False, False, False, False, True, False, False, True, False, False]",28.052228927612305,2,"[7, 10]"
40,"[False, False, False, False, False, False, True, False, True, False, False, False]",28.063974380493164,2,"[7, 9]"
129,"[False, False, False, False, True, False, False, False, False, False, False, True]",28.07806968688965,2,"[5, 12]"
76,"[False, False, False, False, False, True, False, False, True, True, False, False]",28.083946228027344,3,"[6, 9, 10]"
